state,district,market
Andaman and Nicobar,North and Middle Andaman ,Diglipur Vegetable Market (Subhashgram)
Andaman and Nicobar,North and Middle Andaman ,Mayabander Vegetable Market
Andaman and Nicobar,South Andaman,Bathubasti Vegetable Market
Andaman and Nicobar,Nicobar,Perka Vegetable Market
Andhra Pradesh,Dr.B.R.A.Konaseema,Ambajipeta APMC
Andhra Pradesh,Dr.B.R.A.Konaseema,Ravulapalem (Kothapeta APMC)
Andhra Pradesh,Bapatla,Kuchinapudi APMC
Andhra Pradesh,Kurnool,Kurnool APMC
Andhra Pradesh,Chittor,Palamaner APMC
Andhra Pradesh,Palnadu,Gurazala APMC
Andhra Pradesh,Kurnool,Adoni APMC
Andhra Pradesh,NTR,Mylavaram APMC
Andhra Pradesh,NTR,Nandigama APMC
Andhra Pradesh,NTR,Tiruvuru APMC
Andhra Pradesh,Guntur,Guntur APMC
Andhra Pradesh,Sri Sathya Sai,Gorantla  APMC
Andhra Pradesh,Sri Sathya Sai,Penukonda APMC
Andhra Pradesh,Kurnool,Yemmiganur APMC
Andhra Pradesh,Bapatla,Bapatla APMC
Andhra Pradesh,Sri Sathya Sai,Madakasira APMC
Andhra Pradesh,YSR Kadapa,Kadapa
Andhra Pradesh,Sri Sathya Sai,Puttaparthi  APMC
Andhra Pradesh,Alluri Sitharama Raju,Paderu APMC
Andhra Pradesh,Chittor,Chittoor APMC
Andhra Pradesh,Kurnool,Alur APMC
Andhra Pradesh,Eluru,Chintalapudi APMC
Andhra Pradesh,Eluru,Denduluru APMC
Andhra Pradesh,SPSR Nellore,Sarvepalli APMC
Andhra Pradesh,Guntur,Tenali APMC
Andhra Pradesh,NTR,Kanchekacherla APMC
Andhra Pradesh,Eluru,Nuzvid APMC
Andhra Pradesh,Eluru,Polavaram APMC
Andhra Pradesh,Chittor,Bangarupalyam APMC
Andhra Pradesh,East Godavari,Rajahmundry APMC
Andhra Pradesh,Tirupathi,Thiruchanur APMC
Andhra Pradesh,YSR Kadapa,Pulivendala APMC
Andhra Pradesh,Ananthapuramu,Anantapur APMC
Andhra Pradesh,Dr.B.R.A.Konaseema,Ramachandrapuram APMC
Andhra Pradesh,Vijayanagaram,Kothavalasa APMC
Andhra Pradesh,Bapatla,Repalli APMC
Andhra Pradesh,Dr.B.R.A.Konaseema,Mummidivaram APMC
Andhra Pradesh,East Godavari,Kovvur APMC
Andhra Pradesh,Dr.B.R.A.Konaseema,Amalapuram APMC
Andhra Pradesh,SPSR Nellore,Nellore APMC
Andhra Pradesh,Sri Sathya Sai,Kadiri APMC
Andhra Pradesh,Sri Sathya Sai,Hindupur APMC
Andhra Pradesh,Annamayya,Madanapalli APMC
Andhra Pradesh,Annamayya,Somala APMC
Andhra Pradesh,Annamayya,Valmikipuram APMC
Andhra Pradesh,Annamayya,Kalikiri APMC
Andhra Pradesh,Annamayya,Mulakalacheruvu APMC
Andhra Pradesh,Annamayya,B.Kothakota H/Q Angallu
Andhra Pradesh,Chittor,V. Kota Sub-yard of AMC Palamaneru
Andhra Pradesh,Annamayya,Punganur APMC
Andhra Pradesh,Annamayya,Guramkonda Sub-yard of AMC Valmikipuram
Andhra Pradesh,Guntur,Duggirala APMC
Andhra Pradesh,Alluri Sitharama Raju,Chintapally APMC
Arunachal Pradesh,Lower Subansiri,Ziro APMC
Assam,Kamrup,Pamohi(Garchuk) APMC
Assam,Kamrup,Fancy Bazaar APMC
Assam,Nagaon,Haibargaon APMC
Assam,Hojai,"Gandhimaidan SMY, Hojai"
Assam,Tinsukia,Tinsukia Market
Assam,Nagaon,Ambagan APMC
Assam,Darrang,Besimari APMC
Assam,Sonitpur,Dhekiajuli APMC
Assam,Darrang,Balugaon APMC
Assam,Karimganj,Santar Bazaar APMC
Assam,Nagaon,Dhing APMC
Assam,Nagaon,Doomdumia APMC
Bihar,Begusarai,Begusarai APMC
Bihar,Muzaffarpur,Bhagwanpur Mandi APMC
Bihar,Madhubani,Benipatti APMC
Bihar,Khagaria,Khagaria APMC
Bihar,Gaya,Tekari APMC
Bihar,Madhubani,Madhubani APMC
Bihar,Bhagalpur,Bihpur APMC
Bihar,Banka,Amarpur APMC
Bihar,Sheikhpura,Shekhpura APMC
Bihar,Sheikhpura,Barbigha APMC
Bihar,East Champaran/ Motihari,Raxaul APMC
Bihar,Saharsa,Saharsa APMC
Bihar,Chhapra,Chhapra APMC
Chattisgarh,Mungeli,Munguli APMC
Chattisgarh,Mahasamund,Bhavarpur APMC
Chattisgarh,Bilaspur,Takhatpur APMC
Chattisgarh,Koria,Baikunthpur APMC
Chattisgarh,Raigarh,Raigarh APMC
Chattisgarh,Surajpur,Pratappur APMC
Chattisgarh,Narayanpur,Narayanpur APMC
Chattisgarh,Janjgir,Jaijaipur APMC
Chattisgarh,Balod,Dondilohara APMC
Chattisgarh,Balod,Balod APMC
Chattisgarh,Raipur,Abhanpur APMC
Chattisgarh,Balod,Dondi APMC
Chattisgarh,Rajnandgaon,Gandai APMC
Chattisgarh,Kanker,Charama APMC
Chattisgarh,Surajpur,Surajpur APMC
Chattisgarh,Kanker,Narharpur APMC
Chattisgarh,Raipur,Arang APMC
Chattisgarh,Raigarh,Kharsiya APMC
Chattisgarh,Korba,Katghora APMC
Chattisgarh,Raigarh,Kedar APMC
Chattisgarh,Bilaspur,Pendraroad APMC
Chattisgarh,Raipur,Kharora APMC
Chattisgarh,Surguja,Ambikapur APMC
Chattisgarh,Janjgir,Shakti APMC
Chattisgarh,Kanker,Lakhanpuri APMC
Chattisgarh,Balod,Gurur APMC
Chattisgarh,Raigarh,Sarangarh APMC
Chattisgarh,Mahasamund,Bagbahra APMC
Chattisgarh,Raigarh,Dharamjaygarh APMC
Chattisgarh,Raigarh,Gharghoda APMC
Chattisgarh,Raigarh,Baramkela APMC
Chattisgarh,Raipur,Neora APMC
Chattisgarh,Janjgir,Champa APMC
Chattisgarh,Kondagaon,Kondagoan APMC
Chattisgarh,Bilaspur,Bilaspur APMC
Chattisgarh,Jashpur,Pathalgaon APMC
Goa,North Goa,Mapusa APMC
Gujarat,Patan,Sami APMC
Gujarat,Patan,Radhanpur APMC
Gujarat,Mehsana,Unjha APMC
Gujarat,Jamnagar,Jamnagar APMC
Gujarat,Porbandar,Porbandar APMC
Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC
Gujarat,Bhavnagar,Taleja APMC
